,rows,train_rows,test_rows,MAE,RMSE,R2
raw_dataset,151445.0,72719.0,78726.0,45372.558873199065,64616.64261120021,0.26942964309999695
deduplicated_dataset,71913.0,33631.0,38282.0,47174.681677134635,67318.99003648559,0.26463939352399624
